ID,business_type,campaign_goal,budget_level,campaign_duration,area_type,active_hours,ad_style,interaction_goal,offer_type,business_stage,best_place
293,restaurant,sales,medium,short_week,near_entertainment,noon,static_image,website_visit,experience,famous,entertainment_restaurants
294,gaming_arcade,awareness,medium,mid_month,near_entertainment,noon,short_video,store_visit,service,established,entertainment_restaurants
295,electronics,awareness,medium,mid_month,near_entertainment,evening,coupon_offer,purchase,product,new,malls
296,fashion_store,awareness,medium,mid_month,main_street,morning,short_video,purchase,service,established,streets
297,cafe,sales,medium,mid_month,main_street,evening,short_video,social_follow,product,famous,entertainment_restaurants
298,education_center,sales,high,short_week,inside_mall,noon,coupon_offer,store_visit,product,established,malls
299,gym,footfall,low,mid_month,near_entertainment,morning,short_video,website_visit,product,established,malls
300,gym,product_launch,high,mid_month,main_street,morning,short_video,purchase,product,famous,malls
301,restaurant,footfall,low,short_week,inside_mall,evening,static_image,website_visit,product,established,entertainment_restaurants
302,restaurant,product_launch,medium,mid_month,inside_mall,evening,coupon_offer,store_visit,product,famous,malls
303,restaurant,footfall,low,mid_month,near_entertainment,noon,static_image,purchase,service,established,malls
304,clinic,sales,medium,mid_month,inside_mall,noon,static_image,store_visit,service,established,streets
305,restaurant,footfall,medium,mid_month,main_street,evening,static_image,purchase,product,established,streets
306,clinic,awareness,high,long_2months,inside_mall,noon,short_video,website_visit,experience,established,streets
307,cafe,sales,low,short_week,main_street,noon,coupon_offer,purchase,product,established,malls
308,clinic,footfall,high,short_week,inside_mall,evening,coupon_offer,purchase,product,established,streets
